frame,x,y,body_part
96.0,258.0,200.0,dx_shoulder
96.0,180.0,208.0,dx_elbow
96.0,104.0,227.0,dx_hand
96.0,350.0,196.0,sx_shoulder
96.0,426.0,205.0,sx_elbow
96.0,505.0,218.0,sx_hand
97.0,305.0,198.0,neck
97.0,258.0,200.0,dx_shoulder
97.0,180.0,206.0,dx_elbow
97.0,104.0,218.0,dx_hand
97.0,348.0,196.0,sx_shoulder
97.0,426.0,203.0,sx_elbow
97.0,507.0,214.0,sx_hand
98.0,308.0,198.0,neck
98.0,256.0,198.0,dx_shoulder
98.0,180.0,203.0,dx_elbow
98.0,106.0,209.0,dx_hand
98.0,350.0,196.0,sx_shoulder
98.0,426.0,197.0,sx_elbow
98.0,505.0,209.0,sx_hand
99.0,308.0,198.0,neck
99.0,256.0,198.0,dx_shoulder
99.0,178.0,204.0,dx_elbow
99.0,103.0,207.0,dx_hand
99.0,350.0,196.0,sx_shoulder
99.0,428.0,194.0,sx_elbow
99.0,507.0,206.0,sx_hand
100.0,300.0,195.0,neck
100.0,256.0,198.0,dx_shoulder
100.0,176.0,196.0,dx_elbow
100.0,103.0,195.0,dx_hand
100.0,346.0,193.0,sx_shoulder
100.0,428.0,194.0,sx_elbow
100.0,504.0,193.0,sx_hand
101.0,300.0,195.0,neck
101.0,256.0,198.0,dx_shoulder
101.0,171.0,192.0,dx_elbow
101.0,100.0,190.0,dx_hand
101.0,347.0,193.0,sx_shoulder
101.0,428.0,192.0,sx_elbow
101.0,501.0,189.0,sx_hand
102.0,303.0,195.0,neck
102.0,256.0,198.0,dx_shoulder
102.0,164.0,192.0,dx_elbow
102.0,100.0,190.0,dx_hand
102.0,348.0,193.0,sx_shoulder
102.0,428.0,190.0,sx_elbow
102.0,503.0,184.0,sx_hand
103.0,305.0,195.0,neck
103.0,256.0,198.0,dx_shoulder
103.0,171.0,192.0,dx_elbow
103.0,100.0,190.0,dx_hand
103.0,348.0,193.0,sx_shoulder
103.0,428.0,190.0,sx_elbow
103.0,501.0,176.0,sx_hand
104.0,305.0,198.0,neck
104.0,258.0,197.0,dx_shoulder
104.0,178.0,199.0,dx_elbow
104.0,103.0,193.0,dx_hand
104.0,348.0,193.0,sx_shoulder
