frame,x,y,score,body_part
103,437,169,0,sx_elbow
103,516,148,0,sx_hand
104,311,123,0,head
104,302,183,0,neck
104,258,181,0,dx_shoulder
104,179,153,0,dx_elbow
104,97,113,0,dx_hand
104,353,183,0,sx_shoulder
104,437,169,0,sx_elbow
104,516,148,0,sx_hand
105,311,123,0,head
105,302,181,0,neck
105,258,181,0,dx_shoulder
105,179,153,0,dx_elbow
105,97,113,0,dx_hand
105,355,183,0,sx_shoulder
105,434,169,0,sx_elbow
105,516,148,0,sx_hand
106,309,123,0,head
106,302,181,0,neck
106,260,181,0,dx_shoulder
106,181,153,0,dx_elbow
106,93,111,0,dx_hand
106,353,183,0,sx_shoulder
106,434,169,0,sx_elbow
106,518,146,0,sx_hand
107,311,123,0,head
107,302,183,0,neck
107,258,181,0,dx_shoulder
107,183,153,0,dx_elbow
107,97,111,0,dx_hand
107,353,183,0,sx_shoulder
107,434,167,0,sx_elbow
107,516,146,0,sx_hand
108,311,123,0,head
108,302,181,0,neck
108,260,181,0,dx_shoulder
108,186,151,0,dx_elbow
108,100,111,0,dx_hand
108,353,183,0,sx_shoulder
108,439,165,0,sx_elbow
108,516,146,0,sx_hand
109,311,120,0,head
109,302,181,0,neck
109,260,181,0,dx_shoulder
109,186,148,0,dx_elbow
109,104,109,0,dx_hand
109,353,181,0,sx_shoulder
109,437,165,0,sx_elbow
109,513,144,0,sx_hand
110,309,118,0,head
110,302,181,0,neck
110,260,179,0,dx_shoulder
110,188,146,0,dx_elbow
110,102,102,0,dx_hand
110,353,181,0,sx_shoulder
110,437,162,0,sx_elbow
110,513,132,0,sx_hand
111,306,120,0,head
111,302,181,0,neck
111,258,181,0,dx_shoulder
111,188,144,0,dx_elbow
111,109,95,0,dx_hand
111,351,181,0,sx_shoulder
111,425,162,0,sx_elbow
111,504,130,0,sx_hand
112,309,120,0,head
112,302,181,0,neck
112,260,181,0,dx_shoulder
112,190,144,0,dx_elbow
112,116,93,0,dx_hand
112,353,181,0,sx_shoulder
