frame,x,y,body_part
92,185,194,dx_elbow
92,100,200,dx_hand
92,348,191,sx_shoulder
92,425,175,sx_elbow
92,515,169,sx_hand
93,307,195,neck
93,261,197,dx_shoulder
93,180,203,dx_elbow
93,103,212,dx_hand
93,350,193,sx_shoulder
93,432,187,sx_elbow
93,504,188,sx_hand
94,308,198,neck
94,258,200,dx_shoulder
94,180,206,dx_elbow
94,106,225,dx_hand
94,348,196,sx_shoulder
94,426,194,sx_elbow
94,512,206,sx_hand
95,308,198,neck
95,261,200,dx_shoulder
95,185,208,dx_elbow
95,107,230,dx_hand
95,348,196,sx_shoulder
95,428,203,sx_elbow
95,507,214,sx_hand
96,308,198,neck
96,258,200,dx_shoulder
96,180,208,dx_elbow
96,104,227,dx_hand
96,350,196,sx_shoulder
96,426,205,sx_elbow
96,505,218,sx_hand
97,305,198,neck
97,258,200,dx_shoulder
97,180,206,dx_elbow
97,104,218,dx_hand
97,348,196,sx_shoulder
97,426,203,sx_elbow
97,507,214,sx_hand
98,308,198,neck
98,256,198,dx_shoulder
98,180,203,dx_elbow
98,106,209,dx_hand
98,350,196,sx_shoulder
98,426,197,sx_elbow
98,505,209,sx_hand
99,308,198,neck
99,256,198,dx_shoulder
99,178,204,dx_elbow
99,103,207,dx_hand
99,350,196,sx_shoulder
99,428,194,sx_elbow
99,507,206,sx_hand
100,300,195,neck
100,256,198,dx_shoulder
100,176,196,dx_elbow
100,103,195,dx_hand
100,346,193,sx_shoulder
100,428,194,sx_elbow
100,504,193,sx_hand
101,300,195,neck
101,256,198,dx_shoulder
101,171,192,dx_elbow
101,100,190,dx_hand
101,347,193,sx_shoulder
101,428,192,sx_elbow
101,501,189,sx_hand
102,303,195,neck
102,256,198,dx_shoulder
102,164,192,dx_elbow
102,100,190,dx_hand
102,348,193,sx_shoulder
102,428,190,sx_elbow
102,503,184,sx_hand
103,305,195,neck
103,256,198,dx_shoulder
103,171,192,dx_elbow
103,100,190,dx_hand
103,348,193,sx_shoulder
103,428,190,sx_elbow
103,501,176,sx_hand
104,305,198,neck
104,258,197,dx_shoulder
104,178,199,dx_elbow
104,103,193,dx_hand
104,348,193,sx_shoulder
104,428,192,sx_elbow
104,506,183,sx_hand
105,303,195,neck
105,256,198,dx_shoulder
105,180,203,dx_elbow
105,103,207,dx_hand
105,348,193,sx_shoulder
105,428,192,sx_elbow
105,501,191,sx_hand
106,298,196,neck
106,256,198,dx_shoulder
106,178,206,dx_elbow
106,103,212,dx_hand
106,346,193,sx_shoulder
106,416,195,sx_elbow
106,504,199,sx_hand
107,298,198,neck
107,256,198,dx_shoulder
107,176,219,dx_elbow
107,102,230,dx_hand
107,346,196,sx_shoulder
107,419,206,sx_elbow
107,502,211,sx_hand
108,300,198,neck
108,256,200,dx_shoulder
108,177,224,dx_elbow
108,105,247,dx_hand
108,346,196,sx_shoulder
108,414,213,sx_elbow
108,498,228,sx_hand
109,300,198,neck
109,256,198,dx_shoulder
109,184,231,dx_elbow
109,111,266,dx_hand
109,346,196,sx_shoulder
109,407,218,sx_elbow
